date,D,Oth,R,total,D_cum,R_cum,Oth_cum,total_cum
1800-01-01,6,3,3,12,6,3,3,12
1800-01-02,0,0,0,0,6,3,3,12
1800-01-03,0,0,0,0,6,3,3,12
1800-01-04,0,0,0,0,6,3,3,12
1800-01-05,0,0,0,0,6,3,3,12
1800-01-06,0,0,0,0,6,3,3,12
1800-01-07,0,0,0,0,6,3,3,12
1800-01-08,0,0,0,0,6,3,3,12
1800-01-09,0,0,0,0,6,3,3,12
1800-01-10,0,0,0,0,6,3,3,12
1800-01-11,0,0,0,0,6,3,3,12
1800-01-12,0,0,0,0,6,3,3,12
1800-01-13,0,0,0,0,6,3,3,12
1800-01-14,0,0,0,0,6,3,3,12
1800-01-15,0,0,0,0,6,3,3,12
1800-01-16,0,0,0,0,6,3,3,12
1800-01-17,0,0,0,0,6,3,3,12
1800-01-18,0,0,0,0,6,3,3,12
1800-01-19,0,0,0,0,6,3,3,12
1800-01-20,0,0,0,0,6,3,3,12
1800-01-21,0,0,0,0,6,3,3,12
1800-01-22,0,0,0,0,6,3,3,12
1800-01-23,0,0,0,0,6,3,3,12
1800-01-24,0,0,0,0,6,3,3,12
1800-01-25,0,0,0,0,6,3,3,12
1800-01-26,0,0,0,0,6,3,3,12
1800-01-27,0,0,0,0,6,3,3,12
1800-01-28,0,0,0,0,6,3,3,12
1800-01-29,0,0,0,0,6,3,3,12
1800-01-30,0,0,0,0,6,3,3,12
1800-01-31,0,0,0,0,6,3,3,12
1800-02-01,0,0,0,0,6,3,3,12
1800-02-02,0,0,0,0,6,3,3,12
1800-02-03,0,0,0,0,6,3,3,12
1800-02-04,0,0,0,0,6,3,3,12
1800-02-05,0,0,0,0,6,3,3,12
1800-02-06,0,0,0,0,6,3,3,12
1800-02-07,0,0,0,0,6,3,3,12
1800-02-08,0,0,0,0,6,3,3,12
1800-02-09,0,0,0,0,6,3,3,12
1800-02-10,0,0,0,0,6,3,3,12
1800-02-11,0,0,0,0,6,3,3,12
1800-02-12,0,0,0,0,6,3,3,12
1800-02-13,0,0,0,0,6,3,3,12
1800-02-14,0,0,0,0,6,3,3,12
1800-02-15,0,0,0,0,6,3,3,12
1800-02-16,0,0,0,0,6,3,3,12
1800-02-17,0,0,0,0,6,3,3,12
1800-02-18,0,0,0,0,6,3,3,12
1800-02-19,0,0,0,0,6,3,3,12
1800-02-20,0,0,0,0,6,3,3,12
1800-02-21,0,0,0,0,6,3,3,12
1800-02-22,0,0,0,0,6,3,3,12
1800-02-23,0,0,0,0,6,3,3,12
1800-02-24,0,0,0,0,6,3,3,12
1800-02-25,0,0,0,0,6,3,3,12
1800-02-26,0,0,0,0,6,3,3,12
1800-02-27,0,0,0,0,6,3,3,12
1800-02-28,0,0,0,0,6,3,3,12
1800-03-01,0,0,0,0,6,3,3,12
1800-03-02,0,0,0,0,6,3,3,12
1800-03-03,0,0,0,0,6,3,3,12
1800-03-04,0,0,0,0,6,3,3,12
1800-03-05,0,0,0,0,6,3,3,12
1800-03-06,0,0,0,0,6,3,3,12
1800-03-07,0,0,0,0,6,3,3,12
1800-03-08,0,0,0,0,6,3,3,12
1800-03-09,0,0,0,0,6,3,3,12
1800-03-10,0,0,0,0,6,3,3,12
1800-03-11,0,0,0,0,6,3,3,12
1800-03-12,0,0,0,0,6,3,3,12
1800-03-13,0,0,0,0,6,3,3,12
1800-03-14,0,0,0,0,6,3,3,12
1800-03-15,0,0,0,0,6,3,3,12
1800-03-16,0,0,0,0,6,3,3,12
1800-03-17,0,0,0,0,6,3,3,12
1800-03-18,0,0,0,0,6,3,3,12
1800-03-19,0,0,0,0,6,3,3,12
1800-03-20,0,0,0,0,6,3,3,12
1800-03-21,0,0,0,0,6,3,3,12
1800-03-22,0,0,0,0,6,3,3,12
1800-03-23,0,0,0,0,6,3,3,12
1800-03-24,0,0,0,0,6,3,3,12
1800-03-25,0,0,0,0,6,3,3,12
1800-03-26,0,0,0,0,6,3,3,12
1800-03-27,0,0,0,0,6,3,3,12
1800-03-28,0,0,0,0,6,3,3,12
1800-03-29,0,0,0,0,6,3,3,12
1800-03-30,0,0,0,0,6,3,3,12
1800-03-31,0,0,0,0,6,3,3,12
1800-04-01,0,0,0,0,6,3,3,12
1800-04-02,0,0,0,0,6,3,3,12
1800-04-03,0,0,0,0,6,3,3,12
1800-04-04,0,0,0,0,6,3,3,12
1800-04-05,0,0,0,0,6,3,3,12
1800-04-06,0,0,0,0,6,3,3,12
1800-04-07,0,0,0,0,6,3,3,12
1800-04-08,0,0,0,0,6,3,3,12
1800-04-09,0,0,0,0,6,3,3,12
1800-04-10,0,0,0,0,6,3,3,12
1800-04-11,0,0,0,0,6,3,3,12
1800-04-12,0,0,0,0,6,3,3,12
1800-04-13,0,0,0,0,6,3,3,12
1800-04-14,0,0,0,0,6,3,3,12
1800-04-15,0,0,0,0,6,3,3,12
1800-04-16,0,0,0,0,6,3,3,12
1800-04-17,0,0,0,0,6,3,3,12
1800-04-18,0,0,0,0,6,3,3,12
1800-04-19,0,0,0,0,6,3,3,12
1800-04-20,0,0,0,0,6,3,3,12
1800-04-21,0,0,0,0,6,3,3,12
1800-04-22,0,0,0,0,6,3,3,12
1800-04-23,0,0,0,0,6,3,3,12
1800-04-24,0,0,0,0,6,3,3,12
1800-04-25,0,0,0,0,6,3,3,12
1800-04-26,0,0,0,0,6,3,3,12
1800-04-27,0,0,0,0,6,3,3,12
1800-04-28,0,0,0,0,6,3,3,12
1800-04-29,0,0,0,0,6,3,3,12
1800-04-30,0,0,0,0,6,3,3,12
1800-05-01,0,0,0,0,6,3,3,12
1800-05-02,0,0,0,0,6,3,3,12
1800-05-03,0,0,0,0,6,3,3,12
1800-05-04,0,0,0,0,6,3,3,12
1800-05-05,0,0,0,0,6,3,3,12
1800-05-06,0,0,0,0,6,3,3,12
1800-05-07,0,0,0,0,6,3,3,12
1800-05-08,0,0,0,0,6,3,3,12
1800-05-09,0,0,0,0,6,3,3,12
1800-05-10,0,0,0,0,6,3,3,12
1800-05-11,0,0,0,0,6,3,3,12
1800-05-12,0,0,0,0,6,3,3,12
1800-05-13,0,0,0,0,6,3,3,12
1800-05-14,0,0,0,0,6,3,3,12
1800-05-15,0,0,0,0,6,3,3,12
1800-05-16,0,0,0,0,6,3,3,12
1800-05-17,0,0,0,0,6,3,3,12
1800-05-18,0,0,0,0,6,3,3,12
1800-05-19,0,0,0,0,6,3,3,12
1800-05-20,0,0,0,0,6,3,3,12
