week,D,Oth,R,total,D_cum,R_cum,Oth_cum,total_cum
1800-01-06,6,3,3,12,6,3,3,12
1800-01-13,0,0,0,0,6,3,3,12
1800-01-20,0,0,0,0,6,3,3,12
1800-01-27,0,0,0,0,6,3,3,12
1800-02-03,0,0,0,0,6,3,3,12
1800-02-10,0,0,0,0,6,3,3,12
1800-02-17,0,0,0,0,6,3,3,12
1800-02-24,0,0,0,0,6,3,3,12
1800-03-03,0,0,0,0,6,3,3,12
1800-03-10,0,0,0,0,6,3,3,12
1800-03-17,0,0,0,0,6,3,3,12
1800-03-24,0,0,0,0,6,3,3,12
1800-03-31,0,0,0,0,6,3,3,12
1800-04-07,0,0,0,0,6,3,3,12
1800-04-14,0,0,0,0,6,3,3,12
1800-04-21,0,0,0,0,6,3,3,12
1800-04-28,0,0,0,0,6,3,3,12
1800-05-05,0,0,0,0,6,3,3,12
1800-05-12,0,0,0,0,6,3,3,12
1800-05-19,0,0,0,0,6,3,3,12
1800-05-26,0,0,0,0,6,3,3,12
1800-06-02,0,0,0,0,6,3,3,12
1800-06-09,0,0,0,0,6,3,3,12
1800-06-16,0,0,0,0,6,3,3,12
1800-06-23,0,0,0,0,6,3,3,12
1800-06-30,0,0,0,0,6,3,3,12
1800-07-07,0,0,0,0,6,3,3,12
1800-07-14,0,0,0,0,6,3,3,12
1800-07-21,0,0,0,0,6,3,3,12
1800-07-28,0,0,0,0,6,3,3,12
1800-08-04,0,0,0,0,6,3,3,12
1800-08-11,0,0,0,0,6,3,3,12
1800-08-18,0,0,0,0,6,3,3,12
1800-08-25,0,0,0,0,6,3,3,12
1800-09-01,0,0,0,0,6,3,3,12
1800-09-08,0,0,0,0,6,3,3,12
1800-09-15,0,0,0,0,6,3,3,12
1800-09-22,0,0,0,0,6,3,3,12
1800-09-29,0,0,0,0,6,3,3,12
1800-10-06,0,0,0,0,6,3,3,12
1800-10-13,0,0,0,0,6,3,3,12
1800-10-20,0,0,0,0,6,3,3,12
1800-10-27,0,0,0,0,6,3,3,12
1800-11-03,0,0,0,0,6,3,3,12
1800-11-10,0,0,0,0,6,3,3,12
1800-11-17,0,0,0,0,6,3,3,12
1800-11-24,0,0,0,0,6,3,3,12
1800-12-01,0,0,0,0,6,3,3,12
1800-12-08,0,0,0,0,6,3,3,12
1800-12-15,0,0,0,0,6,3,3,12
1800-12-22,0,0,0,0,6,3,3,12
1800-12-29,0,0,0,0,6,3,3,12
1801-01-05,0,0,0,0,6,3,3,12
1801-01-12,0,0,0,0,6,3,3,12
1801-01-19,0,0,0,0,6,3,3,12
1801-01-26,0,0,0,0,6,3,3,12
1801-02-02,0,0,0,0,6,3,3,12
1801-02-09,0,0,0,0,6,3,3,12
1801-02-16,0,0,0,0,6,3,3,12
1801-02-23,0,0,0,0,6,3,3,12
1801-03-02,0,0,0,0,6,3,3,12
1801-03-09,0,0,0,0,6,3,3,12
1801-03-16,0,0,0,0,6,3,3,12
1801-03-23,0,0,0,0,6,3,3,12
1801-03-30,0,0,0,0,6,3,3,12
1801-04-06,0,0,0,0,6,3,3,12
1801-04-13,0,0,0,0,6,3,3,12
1801-04-20,0,0,0,0,6,3,3,12
1801-04-27,0,0,0,0,6,3,3,12
1801-05-04,0,0,0,0,6,3,3,12
1801-05-11,0,0,0,0,6,3,3,12
1801-05-18,0,0,0,0,6,3,3,12
1801-05-25,0,0,0,0,6,3,3,12
1801-06-01,0,0,0,0,6,3,3,12
1801-06-08,0,0,0,0,6,3,3,12
1801-06-15,0,0,0,0,6,3,3,12
1801-06-22,0,0,0,0,6,3,3,12
1801-06-29,0,0,0,0,6,3,3,12
1801-07-06,0,0,0,0,6,3,3,12
1801-07-13,0,0,0,0,6,3,3,12
1801-07-20,0,0,0,0,6,3,3,12
1801-07-27,0,0,0,0,6,3,3,12
1801-08-03,0,0,0,0,6,3,3,12
1801-08-10,0,0,0,0,6,3,3,12
1801-08-17,0,0,0,0,6,3,3,12
1801-08-24,0,0,0,0,6,3,3,12
1801-08-31,0,0,0,0,6,3,3,12
1801-09-07,0,0,0,0,6,3,3,12
1801-09-14,0,0,0,0,6,3,3,12
1801-09-21,0,0,0,0,6,3,3,12
1801-09-28,0,0,0,0,6,3,3,12
1801-10-05,0,0,0,0,6,3,3,12
1801-10-12,0,0,0,0,6,3,3,12
1801-10-19,0,0,0,0,6,3,3,12
1801-10-26,0,0,0,0,6,3,3,12
1801-11-02,0,0,0,0,6,3,3,12
1801-11-09,0,0,0,0,6,3,3,12
1801-11-16,0,0,0,0,6,3,3,12
1801-11-23,0,0,0,0,6,3,3,12
1801-11-30,0,0,0,0,6,3,3,12
1801-12-07,0,0,0,0,6,3,3,12
1801-12-14,0,0,0,0,6,3,3,12
1801-12-21,0,0,0,0,6,3,3,12
1801-12-28,0,0,0,0,6,3,3,12
1802-01-04,0,0,0,0,6,3,3,12
1802-01-11,0,0,0,0,6,3,3,12
1802-01-18,0,0,0,0,6,3,3,12
1802-01-25,0,0,0,0,6,3,3,12
1802-02-01,0,0,0,0,6,3,3,12
1802-02-08,0,0,0,0,6,3,3,12
1802-02-15,0,0,0,0,6,3,3,12
1802-02-22,0,0,0,0,6,3,3,12
1802-03-01,0,0,0,0,6,3,3,12
1802-03-08,0,0,0,0,6,3,3,12
1802-03-15,0,0,0,0,6,3,3,12
1802-03-22,0,0,0,0,6,3,3,12
1802-03-29,0,0,0,0,6,3,3,12
1802-04-05,0,0,0,0,6,3,3,12
1802-04-12,0,0,0,0,6,3,3,12
1802-04-19,0,0,0,0,6,3,3,12
1802-04-26,0,0,0,0,6,3,3,12
1802-05-03,0,0,0,0,6,3,3,12
1802-05-10,0,0,0,0,6,3,3,12
1802-05-17,0,0,0,0,6,3,3,12
1802-05-24,0,0,0,0,6,3,3,12
1802-05-31,0,0,0,0,6,3,3,12
1802-06-07,0,0,0,0,6,3,3,12
1802-06-14,0,0,0,0,6,3,3,12
1802-06-21,0,0,0,0,6,3,3,12
1802-06-28,0,0,0,0,6,3,3,12
1802-07-05,0,0,0,0,6,3,3,12
1802-07-12,0,0,0,0,6,3,3,12
1802-07-19,0,0,0,0,6,3,3,12
1802-07-26,0,0,0,0,6,3,3,12
1802-08-02,0,0,0,0,6,3,3,12
1802-08-09,0,0,0,0,6,3,3,12
