district_name,D_registered,Oth_registered,R_registered,D_voted,Oth_voted,R_voted,D_turnout_pct,R_turnout_pct,Oth_turnout_pct,registered_total,voted_total,turnout_pct
BENSALEM TWP SCHOOL,18033,7209,16717,8384,1814,8015,46.49,47.95,25.16,41959,18213,43.41
BRISTOL BORO SCHOOL,4220,1104,1905,2009,220,731,47.61,38.37,19.93,7229,2960,40.95
BRISTOL TWP SCHOOL,17845,6734,12514,7825,1216,4461,43.85,35.65,18.06,37093,13502,36.4
CENTENNIAL ,14182,5615,17324,8234,1590,8433,58.06,48.68,28.32,37121,18257,49.18
CENTRL BUCKS ,36701,17799,40241,23245,6562,22073,63.34,54.85,36.87,94741,51880,54.76
COUNCIL ROCK ,21854,10575,26907,13653,3866,14553,62.47,54.09,36.56,59336,32072,54.05
MORRISVILLE ,3247,1343,1705,1572,361,708,48.41,41.52,26.88,6295,2641,41.95
NESHAMINY ,21498,9032,22264,12157,2640,11026,56.55,49.52,29.23,52794,25823,48.91
NEW HOPE,4785,2193,3286,3170,923,1768,66.25,53.8,42.09,10264,5861,57.1
PALISADES ,4143,2403,6431,2691,840,3219,64.95,50.05,34.96,12977,6750,52.02
PENNRIDGE,12705,7098,19751,7813,2257,10316,61.5,52.23,31.8,39554,20386,51.54
PENNSBURY ,24990,11155,19206,14382,3683,9015,57.55,46.94,33.02,55351,27080,48.92
QUAKERTOWN ,8874,5049,13279,4860,1355,6141,54.77,46.25,26.84,27202,12356,45.42
SOUDERTON,566,287,806,329,99,421,58.13,52.23,34.49,1659,849,51.18
