municipality,voters,voters_with_any_eligible_election,eligible_elections,voted_elections,eligible_primaries,voted_primaries,eligible_generals,voted_generals,eligible_midterm_primaries,voted_midterm_primaries,avg_eligible_elections_per_voter,avg_voted_elections_per_voter,avg_participation_pct_per_voter,participation_pct,primary_participation_pct,general_participation_pct,midterm_primary_participation_pct,registered_current_year_D,registered_current_year_Oth,registered_current_year_R,registered_current_year_total,registration_year
Bedminster township,5868,5812,64175,31229,31743,9380,32432,21849,5210,1909,10.94,5.32,47.5,48.66,29.55,67.37,36.64,10,16,15,41,2026
Bensalem township,41959,41480,449065,173545,221731,50654,227334,122891,36243,9691,10.7,4.14,37.27,38.65,22.84,54.06,26.74,139,104,64,307,2026
Bridgeton township,996,979,10702,4971,5291,1556,5411,3415,879,336,10.74,4.99,44.88,46.45,29.41,63.11,38.23,5,4,5,14,2026
Bristol borough,7229,7153,78646,30580,38934,10079,39712,20501,6392,1646,10.88,4.23,37.79,38.88,25.89,51.62,25.75,28,16,10,54,2026
Bristol township,37093,36508,394682,137019,194911,38100,199771,98919,31871,7829,10.64,3.69,33.48,34.72,19.55,49.52,24.56,173,134,84,391,2026
Buckingham township,17214,17011,185846,92288,91740,28406,94106,63882,15004,5360,10.8,5.36,48.54,49.66,30.96,67.88,35.72,56,51,25,132,2026
Chalfont borough,3415,3377,37213,17184,18411,5238,18802,11946,3011,1037,10.9,5.03,44.91,46.18,28.45,63.54,34.44,12,8,6,26,2026
Doylestown borough,7089,6993,76807,38366,37988,12919,38819,25447,6220,2372,10.83,5.41,48.81,49.95,34.01,65.55,38.14,29,29,8,66,2026
Doylestown township,14137,13978,154152,78417,76257,25437,77895,52980,12480,4742,10.9,5.55,49.57,50.87,33.36,68.01,38.0,39,37,26,102,2026
Dublin borough,1631,1614,17198,7022,8465,1955,8733,5067,1376,403,10.54,4.31,39.06,40.83,23.1,58.02,29.29,3,7,5,15,2026
Durham township,953,942,10466,5076,5179,1577,5287,3499,856,331,10.98,5.33,47.15,48.5,30.45,66.18,38.67,2,2,1,5,2026
East Rockhill township,4516,4468,49423,22317,24438,6643,24985,15674,4017,1304,10.94,4.94,43.89,45.16,27.18,62.73,32.46,8,20,9,37,2026
Falls township,23524,23241,252150,99166,124542,28501,127608,70665,20379,5695,10.72,4.22,37.98,39.33,22.88,55.38,27.95,92,57,39,188,2026
Haycock township,1794,1783,20139,10081,9991,3307,10148,6774,1650,660,11.23,5.62,49.06,50.06,33.1,66.75,40.0,1,4,2,7,2026
Hilltown township,12714,12595,138846,62462,68667,18611,70179,43851,11275,3795,10.92,4.91,43.61,44.99,27.1,62.48,33.66,24,34,24,82,2026
Hulmeville borough,788,782,8609,3670,4266,1100,4343,2570,699,175,10.93,4.66,41.88,42.63,25.79,59.18,25.04,1,0,2,3,2026
Ivyland borough,702,698,7676,3502,3801,1109,3875,2393,622,203,10.93,4.99,44.04,45.62,29.18,61.75,32.64,1,1,2,4,2026
Langhorne Manor borough,776,767,8461,4336,4189,1460,4272,2876,690,280,10.9,5.59,49.39,51.25,34.85,67.32,40.58,4,2,1,7,2026
Langhorne borough,1138,1131,12570,6151,6234,2015,6336,4136,1026,427,11.05,5.41,47.71,48.93,32.32,65.28,41.62,2,1,1,4,2026
Lower Makefield township,27927,27646,302909,142753,149680,42193,153229,100560,24514,8736,10.85,5.11,45.97,47.13,28.19,65.63,35.64,86,54,42,182,2026
Lower Southampton township,14102,13957,152395,63941,75324,18807,77071,45134,12348,3895,10.81,4.53,40.42,41.96,24.97,58.56,31.54,35,38,25,98,2026
Middletown township,34336,33962,373949,166192,184966,50412,188983,115780,30347,10435,10.89,4.84,43.24,44.44,27.25,61.26,34.39,97,76,71,244,2026
Milford township,7678,7612,83994,36625,41550,11165,42444,25460,6808,2289,10.94,4.77,42.39,43.6,26.87,59.98,33.62,13,12,8,33,2026
Morrisville borough,6295,6214,66429,24674,32783,6848,33646,17826,5343,1301,10.55,3.92,35.61,37.14,20.89,52.98,24.35,24,23,5,52,2026
New Britain borough,1929,1901,21127,9948,10461,3058,10666,6890,1719,610,10.95,5.16,46.01,47.09,29.23,64.6,35.49,5,8,4,17,2026
New Britain township,9650,9569,105650,49117,52253,14888,53397,34229,8571,2929,10.95,5.09,45.3,46.49,28.49,64.1,34.17,25,22,14,61,2026
New Hope borough,2352,2321,24627,11892,12120,3708,12507,8184,1969,681,10.47,5.06,46.93,48.29,30.59,65.44,34.59,6,9,3,18,2026
Newtown borough,2081,2062,22929,12423,11353,4087,11576,8336,1869,803,11.02,5.97,52.95,54.18,36.0,72.01,42.96,5,2,3,10,2026
Newtown township,15751,15606,171531,82135,84774,24598,86757,57537,13899,5178,10.89,5.21,46.73,47.88,29.02,66.32,37.25,38,28,29,95,2026
Nockamixon township,2769,2734,30211,13913,14949,4303,15262,9610,2461,908,10.91,5.02,44.66,46.05,28.78,62.97,36.9,8,10,8,26,2026
Northampton township,31041,30836,341949,157961,169204,47275,172745,110686,27796,9805,11.02,5.09,45.01,46.19,27.94,64.07,35.27,46,47,51,144,2026
Penndel borough,1654,1637,17728,7088,8761,2186,8967,4902,1428,416,10.72,4.29,38.54,39.98,24.95,54.67,29.13,3,7,3,13,2026
Perkasie borough,6959,6901,76269,34755,37740,10506,38529,24249,6212,2040,10.96,4.99,44.33,45.57,27.84,62.94,32.84,8,15,13,36,2026
Plumstead township,11002,10890,118787,55344,58646,16320,60141,39024,9581,3172,10.8,5.03,45.27,46.59,27.83,64.89,33.11,25,24,24,73,2026
Quakertown borough,6194,6106,65905,24733,32535,7280,33370,17453,5317,1451,10.64,3.99,36.08,37.53,22.38,52.3,27.29,20,23,18,61,2026
Richland township,10051,9920,107889,42504,53287,12371,54602,30133,8717,2490,10.73,4.23,38.12,39.4,23.22,55.19,28.56,40,32,24,96,2026
Richlandtown borough,842,829,9204,3644,4554,1022,4650,2622,751,180,10.93,4.33,38.27,39.59,22.44,56.39,23.97,3,2,1,6,2026
Riegelsville borough,704,693,7441,3713,3678,1267,3763,2446,601,216,10.57,5.27,48.19,49.9,34.45,65.0,35.94,2,1,2,5,2026
Sellersville borough,3242,3210,35275,14523,17453,4221,17822,10302,2855,810,10.88,4.48,39.93,41.17,24.18,57.8,28.37,7,7,6,20,2026
Silverdale borough,624,618,6957,3283,3450,1022,3507,2261,569,208,11.15,5.26,46.25,47.19,29.62,64.47,36.56,2,0,2,4,2026
Solebury township,7912,7812,84743,42135,41821,13216,42922,28919,6865,2579,10.71,5.33,48.78,49.72,31.6,67.38,37.57,36,22,12,70,2026
Springfield township,4163,4124,46106,21029,22839,6418,23267,14611,3771,1321,11.08,5.05,44.5,45.61,28.1,62.8,35.03,14,7,7,28,2026
Telford borough,1659,1648,18376,7796,9096,2603,9280,5193,1501,487,11.08,4.7,41.71,42.42,28.62,55.96,32.45,4,4,1,9,2026
Tinicum township,3392,3353,37228,18504,18419,5683,18809,12821,3039,1170,10.98,5.46,48.68,49.7,30.85,68.16,38.5,8,8,8,24,2026
Trumbauersville borough,643,638,6948,3239,3436,1089,3512,2150,564,201,10.81,5.04,45.31,46.62,31.69,61.22,35.64,0,2,2,4,2026
Tullytown borough,1613,1592,17352,7044,8571,2340,8781,4704,1409,373,10.76,4.37,39.16,40.59,27.3,53.57,26.47,8,6,1,15,2026
Upper Makefield township,7724,7643,83958,42386,41486,13121,42472,29265,6799,2661,10.87,5.49,49.53,50.48,31.63,68.9,39.14,26,9,15,50,2026
Upper Southampton township,11781,11696,130772,57582,64800,17387,65972,40195,10669,3775,11.1,4.89,42.77,44.03,26.83,60.93,35.38,20,22,22,64,2026
Warminster township,24638,24439,270731,120307,134044,38755,136687,81552,22016,7439,10.99,4.88,43.11,44.44,28.91,59.66,33.79,59,33,34,126,2026
Warrington township,18864,18679,204854,91629,101236,26586,103618,65043,16596,5389,10.86,4.86,43.4,44.73,26.26,62.77,32.47,55,29,33,117,2026
Warwick township,11441,11323,124716,58934,61673,17730,63043,41204,10099,3494,10.9,5.15,45.96,47.25,28.75,65.36,34.6,28,19,18,65,2026
West Rockhill township,4000,3969,44512,20807,22072,6659,22440,14148,3634,1358,11.13,5.2,45.6,46.74,30.17,63.05,37.37,6,6,9,21,2026
Wrightstown township,2739,2713,29838,14350,14745,4341,15093,10009,2417,846,10.89,5.24,46.62,48.09,29.44,66.32,35.0,4,5,7,16,2026
Yardley borough,2287,2260,25045,12081,12385,3610,12660,8471,2031,706,10.95,5.28,47.6,48.24,29.15,66.91,34.76,9,8,3,20,2026
