polling_place_key,voters,voters_with_any_eligible_election,eligible_elections,voted_elections,eligible_primaries,voted_primaries,eligible_generals,voted_generals,eligible_midterm_primaries,voted_midterm_primaries,avg_eligible_elections_per_voter,avg_voted_elections_per_voter,avg_participation_pct_per_voter,participation_pct,primary_participation_pct,general_participation_pct,midterm_primary_participation_pct,registered_current_year_D,registered_current_year_Oth,registered_current_year_R,registered_current_year_total,registration_year,polling_place,full_address,post_office,precinct_codes,precinct_split_ids,municipality_districts
Advent Lutheran Church | 45 Worthington Mill Rd Richboro PA 18954 | Richboro,2128,2114,23612,11869,11701,3837,11911,8032,1924,745,11.1,5.58,48.85,50.27,32.79,67.43,38.72,4,2,2,8,2026,Advent Lutheran Church,45 Worthington Mill Rd Richboro PA 18954,Richboro,31010,31010-1,Northampton Twp. District 1
Afton Elementary School | 1673 Quarry Rd Yardley PA 19067 | Yardley,6907,6842,75110,35348,37110,10217,38000,25131,6085,2179,10.87,5.12,45.96,47.06,27.53,66.13,35.81,20,10,14,44,2026,Afton Elementary School,1673 Quarry Rd Yardley PA 19067,Yardley,20011; 20012; 20013,20011-1; 20012-1; 20013-1,Lower Makefield Twp. North 1; Lower Makefield Twp. North 2; Lower Makefield Twp. North 3
American Legion Post #440 | 41 Linden Ave Newtown PA 18940 | Newtown,1997,1974,21437,10291,10578,2981,10859,7310,1734,644,10.73,5.15,46.88,48.01,28.18,67.32,37.14,6,2,6,14,2026,American Legion Post #440,41 Linden Ave Newtown PA 18940,Newtown,29020,29020-1,Newtown Twp. District 2
Anchor Presbyterian Church | 980 Durham Rd Newtown PA 18940 | Wrightstown,2739,2713,29838,14350,14745,4341,15093,10009,2417,846,10.89,5.24,46.62,48.09,29.44,66.32,35.0,4,5,7,16,2026,Anchor Presbyterian Church,980 Durham Rd Newtown PA 18940,Wrightstown,53000,53000-1,Wrightstown Twp.
Ancient Order of the Hibernians | 614 Corson St Bristol PA 19007 | Bristol,1571,1556,17134,6021,8479,1832,8655,4189,1392,300,10.91,3.83,34.11,35.14,21.61,48.4,21.55,6,5,0,11,2026,Ancient Order of the Hibernians,614 Corson St Bristol PA 19007,Bristol,04011; 04012,04011-1; 04012-1,Bristol Borough North 1; Bristol Borough North 2
"Ann's Choice Senior Living Community | 30000 Anns Choice Way, Warminster, PA 18974 | Warminster",2648,2625,29768,17125,14793,6814,14975,10311,2431,1213,11.24,6.47,57.15,57.53,46.06,68.85,49.9,4,5,7,16,2026,Ann's Choice Senior Living Community,"30000 Anns Choice Way, Warminster, PA 18974",Warminster,49140,49140-1,Warminster Twp. District 14
Ascension Lutheran Church | 900 Washington Crossing Rd Newtown PA 18940 | Newtown,4150,4107,45109,23030,22292,7150,22817,15880,3654,1464,10.87,5.55,50.13,51.05,32.07,69.6,40.07,11,6,9,26,2026,Ascension Lutheran Church,900 Washington Crossing Rd Newtown PA 18940,Newtown,47020; 47040,47020-1; 47040-1,Upper Makefield Twp. District 2; Upper Makefield Twp. District 4
Beechwood Neuro Rehab | 469 E Maple Ave Langhorne PA 19047 | Langhorne,1966,1947,21328,11242,10554,3787,10774,7455,1731,739,10.85,5.72,52.41,52.71,35.88,69.19,42.69,6,3,3,12,2026,Beechwood Neuro Rehab,469 E Maple Ave Langhorne PA 19047,Langhorne,22250,22250-1,Middletown Twp. Upper 5
Belmont Hills Elementary School | 5000 Neshaminy Blvd Bensalem PA 19020 | Bensalem,5191,5122,55069,20419,27157,5826,27912,14593,4438,1088,10.61,3.93,35.71,37.08,21.45,52.28,24.52,16,20,5,41,2026,Belmont Hills Elementary School,5000 Neshaminy Blvd Bensalem PA 19020,Bensalem,02054; 02057; 02058; 02062,02054-1; 02057-1; 02058-1; 02062-1,Bensalem Twp. Upper 12; Bensalem Twp. Upper 4; Bensalem Twp. Upper 7; Bensalem Twp. Upper 8
Ben Franklin Middle School | 6403 Mill Creek Rd Levittown PA 19057 | Levittown,1452,1426,15576,5808,7691,1606,7885,4202,1261,314,10.73,4.0,36.12,37.29,20.88,53.29,24.9,9,7,5,21,2026,Ben Franklin Middle School,6403 Mill Creek Rd Levittown PA 19057,Levittown,05081,05081-1,Bristol Twp. 8 - 1
Benjamin H. Wilson Senior Center | 580 Delmont Ave Warminster PA 18974 | Warminster,2980,2969,33604,17074,16670,5886,16934,11188,2763,1139,11.28,5.73,49.52,50.81,35.31,66.07,41.22,4,2,0,6,2026,Benjamin H. Wilson Senior Center,580 Delmont Ave Warminster PA 18974,Warminster,49080; 49120,49080-1; 49120-1,Warminster Twp. District 12; Warminster Twp. District 8
Bensalem High School | 4319 Hulmeville Rd Bensalem PA 19020 | Bensalem,4820,4775,52661,22857,26054,6875,26607,15982,4286,1333,10.93,4.74,42.09,43.4,26.39,60.07,31.1,15,9,7,31,2026,Bensalem High School,4319 Hulmeville Rd Bensalem PA 19020,Bensalem,02015; 02016; 02018,02015-1; 02016-1; 02018-1,Bensalem Twp. Lower East 5; Bensalem Twp. Lower East 6; Bensalem Twp. Lower East 8
Blooming Glen Mennonite church | 713 Blooming Glen Rd Blooming Glen PA 18911 | Blooming Glen,2029,2018,22751,11505,11265,3723,11486,7782,1866,750,11.21,5.67,49.41,50.57,33.05,67.75,40.19,2,4,1,7,2026,Blooming Glen Mennonite church,713 Blooming Glen Rd Blooming Glen PA 18911,Blooming Glen,15011,15011-1,Hilltown Twp. Blooming Glen 1
Boy Scout Council | 1 Scout Way Doylestown PA 18901 | Doylestown,914,904,9976,4787,4937,1561,5039,3226,807,280,10.91,5.24,46.82,47.99,31.62,64.02,34.7,3,3,1,7,2026,Boy Scout Council,1 Scout Way Doylestown PA 18901,Doylestown,08032,08032-1,Doylestown Borough 3 - 2
Bridgeton Twp Building | 1370 Bridgeton Hill Rd Upper Black Eddy PA 18972 | Upper Black Eddy,996,979,10702,4971,5291,1556,5411,3415,879,336,10.74,4.99,44.88,46.45,29.41,63.11,38.23,5,4,5,14,2026,Bridgeton Twp Building,1370 Bridgeton Hill Rd Upper Black Eddy PA 18972,Upper Black Eddy,03000,03000-1,Bridgeton Twp.
Bristol Borough Junior/Senior High School | 1801 Wilson Ave Bristol PA 19007 | Bristol,2180,2161,23950,11002,11866,3928,12084,7074,1959,646,10.99,5.05,44.63,45.94,33.1,58.54,32.98,6,4,3,13,2026,Bristol Borough Junior/Senior High School,1801 Wilson Ave Bristol PA 19007,Bristol,04021; 04022,04021-1; 04022-1,Bristol Borough East 1; Bristol Borough East 2
Bristol Township Municipal Building | 2501 Bath Rd Bristol PA 19007 | Levittown,2302,2262,24595,8276,12154,2252,12441,6024,1995,456,10.68,3.6,32.4,33.65,18.53,48.42,22.86,10,8,8,26,2026,Bristol Township Municipal Building,2501 Bath Rd Bristol PA 19007,Levittown,05031; 05032,05031-1; 05032-1,Bristol Twp. 3 - 1; Bristol Twp. 3 - 2
Brookwood Elem School | 2200 Haines Rd Levittown PA 19055 | Levittown,4309,4249,46482,16952,22980,4717,23502,12235,3762,976,10.79,3.93,35.44,36.47,20.53,52.06,25.94,20,13,11,44,2026,Brookwood Elem School,2200 Haines Rd Levittown PA 19055,Levittown,05071; 05111; 05112,05071-1; 05111-1; 05112-1,Bristol Twp. 11 - 1; Bristol Twp. 11 - 2; Bristol Twp. 7 - 1
Buckingham Springs Clubhouse | 1490 Durham Rd New Hope PA 18938 | New Hope,1572,1557,17381,9364,8609,3247,8772,6117,1420,630,11.06,5.96,53.64,53.87,37.72,69.73,44.37,2,3,1,6,2026,Buckingham Springs Clubhouse,1490 Durham Rd New Hope PA 18938,New Hope,06012,06012-1,Buckingham Twp. Lower 2
Buckingham Township Building | 4613 Hughesian Dr Buckingham PA 18912 | Buckingham,4000,3948,42892,21059,21163,6462,21729,14597,3447,1198,10.72,5.26,47.86,49.1,30.53,67.18,34.75,15,16,9,40,2026,Buckingham Township Building,4613 Hughesian Dr Buckingham PA 18912,Buckingham,06021; 06022,06021-1; 06022-1,Buckingham Twp. Middle 1; Buckingham Twp. Middle 2
Bucks County Bar Association | 135 E State St Doylestown PA 18901 | Doylestown,1114,1100,12199,6922,6041,2391,6158,4531,991,427,10.95,6.21,55.68,56.74,39.58,73.58,43.09,4,4,1,9,2026,Bucks County Bar Association,135 E State St Doylestown PA 18901,Doylestown,08011,08011-1,Doylestown Borough 1 - 1
Bucks County Community College - Lower Bucks | 1304 Veterans Hwy Bristol PA 19007 | Bristol,4339,4265,45709,14936,22537,3981,23172,10955,3683,818,10.53,3.44,31.52,32.68,17.66,47.28,22.21,22,15,7,44,2026,Bucks County Community College - Lower Bucks,1304 Veterans Hwy Bristol PA 19007,Bristol,05033; 05041; 05042,05033-1; 05041-1; 05042-1,Bristol Twp. 3 - 3; Bristol Twp. 4 - 1; Bristol Twp. 4 - 2
Bucks County Community College - Lower Bucks | 1304 Veterans Hwy Bristol PA 19007 | Briston,1085,1070,11707,3895,5786,1084,5921,2811,954,241,10.79,3.59,31.94,33.27,18.73,47.48,25.26,6,5,1,12,2026,Bucks County Community College - Lower Bucks,1304 Veterans Hwy Bristol PA 19007,Briston,05043,05043-1,Bristol Twp. 4 - 3
Bucks County Community College - Upper Bucks | 1 Hillendale Rd Perkasie PA 18944 | Perkasie,4516,4468,49423,22317,24438,6643,24985,15674,4017,1304,10.94,4.94,43.89,45.16,27.18,62.73,32.46,8,20,9,37,2026,Bucks County Community College - Upper Bucks,1 Hillendale Rd Perkasie PA 18944,Perkasie,12010; 12020,12010-1; 12020-1,East Rockhill Twp. District 1; East Rockhill Twp. District 2
Bucks County Free Library Bensalem Branch | 3700 Hulmeville Rd Bensalem PA 19020 | Bensalem,2491,2459,24851,6892,12200,1644,12651,5248,1943,345,9.98,2.77,26.52,27.73,13.48,41.48,17.76,15,1,4,20,2026,Bucks County Free Library Bensalem Branch,3700 Hulmeville Rd Bensalem PA 19020,Bensalem,02024; 02025,02024-1; 02025-1,Bensalem Twp. Lower Middle 4; Bensalem Twp. Lower Middle 5
Bucks County Free Library | 7311 New Falls Rd Levittown PA 19055 | Levittown,975,952,10161,3602,5004,977,5157,2625,817,203,10.42,3.69,34.03,35.45,19.52,50.9,24.85,6,2,3,11,2026,Bucks County Free Library,7311 New Falls Rd Levittown PA 19055,Levittown,05061,05061-1,Bristol Twp. 6 - 1
Bucks County Government Services Center | 7321 New Falls Rd Levittown PA 19055 | Levittown,1759,1737,18797,6823,9287,1859,9510,4964,1511,408,10.69,3.88,34.76,36.3,20.02,52.2,27.0,8,6,3,17,2026,Bucks County Government Services Center,7321 New Falls Rd Levittown PA 19055,Levittown,05082,05082-1,Bristol Twp. 8 - 2
Bucks County Public Safety Training Center | 1760 S. Easton Road Doylestown PA 18901 | Doylestown,2728,2702,29922,15881,14801,5159,15121,10722,2427,960,10.97,5.82,51.77,53.07,34.86,70.91,39.56,5,4,4,13,2026,Bucks County Public Safety Training Center,1760 S. Easton Road Doylestown PA 18901,Doylestown,09030; 09040,09030-1; 09040-1,Doylestown Twp. District 3; Doylestown Twp. District 4
Bucks IU22 @ Samuel Everitt Elementary School | 145 Forsythia Dr S Levittown PA 19056 | Levittown,2773,2743,30499,14413,15096,4463,15403,9950,2489,917,11.0,5.2,46.09,47.26,29.56,64.6,36.84,6,1,11,18,2026,Bucks IU22 @ Samuel Everitt Elementary School,145 Forsythia Dr S Levittown PA 19056,Levittown,22050; 22100; 22120,22050-1; 22100-1; 22120-1,Middletown Twp. Lower 10; Middletown Twp. Lower 12; Middletown Twp. Lower 5
