polling_place_key,D_to_Oth,D_to_R,Oth_to_D,Oth_to_R,R_to_D,R_to_Oth,total_switch,D_gain,D_loss,R_gain,R_loss,Oth_gain,Oth_loss,D,R,Oth,D_net,R_net,Oth_net,D_flip_pct,R_flip_pct,Oth_flip_pct,polling_place,full_address,post_office,precinct_codes,precinct_split_ids,municipality_districts
Advent Lutheran Church | 45 Worthington Mill Rd Richboro PA 18954 | Richboro,7,9,8,8,9,12,53,17,16,17,21,19,16,826,973,329,1,-4,3,1.94,2.16,4.86,Advent Lutheran Church,45 Worthington Mill Rd Richboro PA 18954,Richboro,31010,31010-1,Northampton Twp. District 1
Afton Elementary School | 1673 Quarry Rd Yardley PA 19067 | Yardley,39,20,31,15,26,24,155,57,59,35,50,63,46,2653,2748,1506,-2,-15,17,2.22,1.82,3.05,Afton Elementary School,1673 Quarry Rd Yardley PA 19067,Yardley,20011; 20012; 20013,20011-1; 20012-1; 20013-1,Lower Makefield Twp. North 1; Lower Makefield Twp. North 2; Lower Makefield Twp. North 3
American Legion Post #440 | 41 Linden Ave Newtown PA 18940 | Newtown,9,4,9,6,8,8,44,17,13,10,16,17,15,790,811,396,4,-6,2,1.65,1.97,3.79,American Legion Post #440,41 Linden Ave Newtown PA 18940,Newtown,29020,29020-1,Newtown Twp. District 2
Anchor Presbyterian Church | 980 Durham Rd Newtown PA 18940 | Wrightstown,6,15,6,15,9,20,71,15,21,30,29,26,21,874,1332,533,-6,1,5,2.4,2.18,3.94,Anchor Presbyterian Church,980 Durham Rd Newtown PA 18940,Wrightstown,53000,53000-1,Wrightstown Twp.
Ancient Order of the Hibernians | 614 Corson St Bristol PA 19007 | Bristol,7,4,11,3,7,3,35,18,11,7,10,10,14,947,375,249,7,-3,-4,1.16,2.67,5.62,Ancient Order of the Hibernians,614 Corson St Bristol PA 19007,Bristol,04011; 04012,04011-1; 04012-1,Bristol Borough North 1; Bristol Borough North 2
"Ann's Choice Senior Living Community | 30000 Anns Choice Way, Warminster, PA 18974 | Warminster",7,8,8,10,19,9,61,27,15,18,28,16,18,1204,1171,273,12,-10,-2,1.25,2.39,6.59,Ann's Choice Senior Living Community,"30000 Anns Choice Way, Warminster, PA 18974",Warminster,49140,49140-1,Warminster Twp. District 14
Ascension Lutheran Church | 900 Washington Crossing Rd Newtown PA 18940 | Newtown,18,12,19,23,17,14,103,36,30,35,31,32,42,1497,1852,801,6,4,-10,2.0,1.67,5.24,Ascension Lutheran Church,900 Washington Crossing Rd Newtown PA 18940,Newtown,47020; 47040,47020-1; 47040-1,Upper Makefield Twp. District 2; Upper Makefield Twp. District 4
Beechwood Neuro Rehab | 469 E Maple Ave Langhorne PA 19047 | Langhorne,6,7,7,5,6,3,34,13,13,12,9,9,12,923,721,322,0,3,-3,1.41,1.25,3.73,Beechwood Neuro Rehab,469 E Maple Ave Langhorne PA 19047,Langhorne,22250,22250-1,Middletown Twp. Upper 5
Belmont Hills Elementary School | 5000 Neshaminy Blvd Bensalem PA 19020 | Bensalem,21,26,25,14,16,7,109,41,47,40,23,28,39,2367,1857,967,-6,17,-11,1.99,1.24,4.03,Belmont Hills Elementary School,5000 Neshaminy Blvd Bensalem PA 19020,Bensalem,02054; 02057; 02058; 02062,02054-1; 02057-1; 02058-1; 02062-1,Bensalem Twp. Upper 12; Bensalem Twp. Upper 4; Bensalem Twp. Upper 7; Bensalem Twp. Upper 8
Ben Franklin Middle School | 6403 Mill Creek Rd Levittown PA 19057 | Levittown,4,10,3,5,4,4,30,7,14,15,8,8,8,677,525,250,-7,7,0,2.07,1.52,3.2,Ben Franklin Middle School,6403 Mill Creek Rd Levittown PA 19057,Levittown,05081,05081-1,Bristol Twp. 8 - 1
Benjamin H. Wilson Senior Center | 580 Delmont Ave Warminster PA 18974 | Warminster,11,22,5,15,17,8,78,22,33,37,25,19,20,1122,1469,389,-11,12,-1,2.94,1.7,5.14,Benjamin H. Wilson Senior Center,580 Delmont Ave Warminster PA 18974,Warminster,49080; 49120,49080-1; 49120-1,Warminster Twp. District 12; Warminster Twp. District 8
Bensalem High School | 4319 Hulmeville Rd Bensalem PA 19020 | Bensalem,15,46,20,13,14,10,118,34,61,59,24,25,33,1854,2235,731,-27,35,-8,3.29,1.07,4.51,Bensalem High School,4319 Hulmeville Rd Bensalem PA 19020,Bensalem,02015; 02016; 02018,02015-1; 02016-1; 02018-1,Bensalem Twp. Lower East 5; Bensalem Twp. Lower East 6; Bensalem Twp. Lower East 8
Blooming Glen Mennonite church | 713 Blooming Glen Rd Blooming Glen PA 18911 | Blooming Glen,11,11,9,14,7,12,64,16,22,25,19,23,23,515,1171,343,-6,6,0,4.27,1.62,6.71,Blooming Glen Mennonite church,713 Blooming Glen Rd Blooming Glen PA 18911,Blooming Glen,15011,15011-1,Hilltown Twp. Blooming Glen 1
Boy Scout Council | 1 Scout Way Doylestown PA 18901 | Doylestown,9,1,6,2,6,3,27,12,10,3,9,12,8,469,252,193,2,-6,4,2.13,3.57,4.15,Boy Scout Council,1 Scout Way Doylestown PA 18901,Doylestown,08032,08032-1,Doylestown Borough 3 - 2
Bridgeton Twp Building | 1370 Bridgeton Hill Rd Upper Black Eddy PA 18972 | Upper Black Eddy,5,3,4,1,2,2,17,6,8,4,4,7,5,323,457,216,-2,0,2,2.48,0.88,2.31,Bridgeton Twp Building,1370 Bridgeton Hill Rd Upper Black Eddy PA 18972,Upper Black Eddy,03000,03000-1,Bridgeton Twp.
Bristol Borough Junior/Senior High School | 1801 Wilson Ave Bristol PA 19007 | Bristol,9,14,13,5,11,1,53,24,23,19,12,10,18,1237,651,292,1,7,-8,1.86,1.84,6.16,Bristol Borough Junior/Senior High School,1801 Wilson Ave Bristol PA 19007,Bristol,04021; 04022,04021-1; 04022-1,Bristol Borough East 1; Bristol Borough East 2
Bristol Township Municipal Building | 2501 Bath Rd Bristol PA 19007 | Levittown,4,17,3,7,1,2,34,4,21,24,3,6,10,1281,647,374,-17,21,-4,1.64,0.46,2.67,Bristol Township Municipal Building,2501 Bath Rd Bristol PA 19007,Levittown,05031; 05032,05031-1; 05032-1,Bristol Twp. 3 - 1; Bristol Twp. 3 - 2
Brookwood Elem School | 2200 Haines Rd Levittown PA 19055 | Levittown,16,21,9,9,10,7,72,19,37,30,17,23,18,1955,1567,787,-18,13,5,1.89,1.08,2.29,Brookwood Elem School,2200 Haines Rd Levittown PA 19055,Levittown,05071; 05111; 05112,05071-1; 05111-1; 05112-1,Bristol Twp. 11 - 1; Bristol Twp. 11 - 2; Bristol Twp. 7 - 1
