polling_place_key,D_registered,Oth_registered,R_registered,D_voted,Oth_voted,R_voted,D_turnout_pct,R_turnout_pct,Oth_turnout_pct,registered_total,voted_total,turnout_pct,polling_place,full_address,post_office,precinct_codes,precinct_split_ids,municipality_districts
Advent Lutheran Church | 45 Worthington Mill Rd Richboro PA 18954 | Richboro,826,329,973,549,127,557,66.46,57.25,38.6,2128,1233,57.94,Advent Lutheran Church,45 Worthington Mill Rd Richboro PA 18954,Richboro,31010,31010-1,Northampton Twp. District 1
Afton Elementary School | 1673 Quarry Rd Yardley PA 19067 | Yardley,2653,1506,2748,1621,575,1475,61.1,53.68,38.18,6907,3671,53.15,Afton Elementary School,1673 Quarry Rd Yardley PA 19067,Yardley,20011; 20012; 20013,20011-1; 20012-1; 20013-1,Lower Makefield Twp. North 1; Lower Makefield Twp. North 2; Lower Makefield Twp. North 3
American Legion Post #440 | 41 Linden Ave Newtown PA 18940 | Newtown,790,396,811,498,148,441,63.04,54.38,37.37,1997,1087,54.43,American Legion Post #440,41 Linden Ave Newtown PA 18940,Newtown,29020,29020-1,Newtown Twp. District 2
Anchor Presbyterian Church | 980 Durham Rd Newtown PA 18940 | Wrightstown,874,533,1332,551,183,768,63.04,57.66,34.33,2739,1502,54.84,Anchor Presbyterian Church,980 Durham Rd Newtown PA 18940,Wrightstown,53000,53000-1,Wrightstown Twp.
Ancient Order of the Hibernians | 614 Corson St Bristol PA 19007 | Bristol,947,249,375,391,45,128,41.29,34.13,18.07,1571,564,35.9,Ancient Order of the Hibernians,614 Corson St Bristol PA 19007,Bristol,04011; 04012,04011-1; 04012-1,Bristol Borough North 1; Bristol Borough North 2
"Ann's Choice Senior Living Community | 30000 Anns Choice Way, Warminster, PA 18974 | Warminster",1204,273,1171,884,120,676,73.42,57.73,43.96,2648,1680,63.44,Ann's Choice Senior Living Community,"30000 Anns Choice Way, Warminster, PA 18974",Warminster,49140,49140-1,Warminster Twp. District 14
Ascension Lutheran Church | 900 Washington Crossing Rd Newtown PA 18940 | Newtown,1497,801,1852,1039,363,1078,69.41,58.21,45.32,4150,2480,59.76,Ascension Lutheran Church,900 Washington Crossing Rd Newtown PA 18940,Newtown,47020; 47040,47020-1; 47040-1,Upper Makefield Twp. District 2; Upper Makefield Twp. District 4
Beechwood Neuro Rehab | 469 E Maple Ave Langhorne PA 19047 | Langhorne,923,322,721,639,151,397,69.23,55.06,46.89,1966,1187,60.38,Beechwood Neuro Rehab,469 E Maple Ave Langhorne PA 19047,Langhorne,22250,22250-1,Middletown Twp. Upper 5
Belmont Hills Elementary School | 5000 Neshaminy Blvd Bensalem PA 19020 | Bensalem,2367,967,1857,1068,230,855,45.12,46.04,23.78,5191,2153,41.48,Belmont Hills Elementary School,5000 Neshaminy Blvd Bensalem PA 19020,Bensalem,02054; 02057; 02058; 02062,02054-1; 02057-1; 02058-1; 02062-1,Bensalem Twp. Upper 12; Bensalem Twp. Upper 4; Bensalem Twp. Upper 7; Bensalem Twp. Upper 8
Ben Franklin Middle School | 6403 Mill Creek Rd Levittown PA 19057 | Levittown,677,250,525,314,58,212,46.38,40.38,23.2,1452,584,40.22,Ben Franklin Middle School,6403 Mill Creek Rd Levittown PA 19057,Levittown,05081,05081-1,Bristol Twp. 8 - 1
Benjamin H. Wilson Senior Center | 580 Delmont Ave Warminster PA 18974 | Warminster,1122,389,1469,776,153,857,69.16,58.34,39.33,2980,1786,59.93,Benjamin H. Wilson Senior Center,580 Delmont Ave Warminster PA 18974,Warminster,49080; 49120,49080-1; 49120-1,Warminster Twp. District 12; Warminster Twp. District 8
