precinct_code,municipality_district,polling_place,full_address,post_office
01010,Bedminster Twp. East,Deep Run Mennonite Church East,350 Kellers Church Rd Perkasie PA 18944,Perkasie
01020,Bedminster Twp. West,Deep Run Presbyterian Church,16 Irish Meeting House Rd Perkasie Pa 18944,Perkasie
02011,Bensalem Twp. Lower East 1,Russell C. Struble Elementary School,4300 Bensalem Blvd Bensalem PA 19020,Bensalem
02012,Bensalem Twp. Lower East 2,Robert Shafer Middle School,3333 Hulmeville Rd Bensalem PA 19020,Bensalem
02013,Bensalem Twp. Lower East 3,Robert Shafer Middle School,3333 Hulmeville Rd Bensalem PA 19020,Bensalem
02014,Bensalem Twp. Lower East 4,Cecelia Snyder Middle School,3330 Hulmeville Rd Bensalem PA 19020,Bensalem
02015,Bensalem Twp. Lower East 5,Bensalem High School,4319 Hulmeville Rd Bensalem PA 19020,Bensalem
02016,Bensalem Twp. Lower East 6,Bensalem High School,4319 Hulmeville Rd Bensalem PA 19020,Bensalem
02017,Bensalem Twp. Lower East 7,Russell C. Struble Elementary School,4300 Bensalem Blvd Bensalem PA 19020,Bensalem
02018,Bensalem Twp. Lower East 8,Bensalem High School,4319 Hulmeville Rd Bensalem PA 19020,Bensalem
02021,Bensalem Twp. Lower Middle 1,Union Fire Company,2067 State Rd Bensalem PA 19020,Bensalem
02022,Bensalem Twp. Lower Middle 2,Cornwell Elementary School,2215 Hulmeville Rd Bensalem PA 19020,Bensalem
02023,Bensalem Twp. Lower Middle 3,Cornwells Elementary School,2215 Hulmeville Rd Bensalem PA 19020,Bensalem
02024,Bensalem Twp. Lower Middle 4,Bucks County Free Library Bensalem Branch,3700 Hulmeville Rd Bensalem PA 19020,Bensalem
02025,Bensalem Twp. Lower Middle 5,Bucks County Free Library Bensalem Branch,3700 Hulmeville Rd Bensalem PA 19020,Bensalem
02030,Bensalem Twp. Lower West,Salem Harbor Apts.,463 Old Bridge Rd Bensalem PA 19020,Bensalem
02040,Bensalem Twp. Upper West,Kings Library Church of the Redeemer,1065 Bristol Pike Bensalem PA 19020,Bensalem
02051,Bensalem Twp. Upper 1,Trevose Fire Company,4900 E Street Rd Trevose PA 19053,Trevose
02052,Bensalem Twp. Upper 2,Samuel K. Faust Elementary School,2901 Bellview Dr Bensalem PA 19020,Bensalem
