precinct_split_id,voters,voters_with_any_eligible_election,eligible_elections,voted_elections,eligible_primaries,voted_primaries,eligible_generals,voted_generals,eligible_midterm_primaries,voted_midterm_primaries,avg_eligible_elections_per_voter,avg_voted_elections_per_voter,avg_participation_pct_per_voter,participation_pct,primary_participation_pct,general_participation_pct,midterm_primary_participation_pct,registered_current_year_D,registered_current_year_Oth,registered_current_year_R,registered_current_year_total,registration_year
01010-1,3000,2970,32832,15857,16245,4766,16587,11091,2671,1003,10.94,5.29,47.18,48.3,29.34,66.87,37.55,5,11,6,22,2026
01020-1,2868,2842,31343,15372,15498,4614,15845,10758,2539,906,10.93,5.36,47.83,49.04,29.77,67.9,35.68,5,5,9,19,2026
02011-1,2044,2027,21714,9082,10699,2725,11015,6357,1734,496,10.62,4.44,40.37,41.83,25.47,57.71,28.6,4,6,3,13,2026
02012-1,1905,1874,20354,7755,10044,2185,10310,5570,1640,407,10.68,4.07,36.99,38.1,21.75,54.03,24.82,12,3,4,19,2026
02013-1,1981,1961,21012,6800,10366,1670,10646,5130,1691,310,10.61,3.43,31.22,32.36,16.11,48.19,18.33,8,6,0,14,2026
02014-1,1157,1136,11968,3227,5889,887,6079,2340,963,154,10.34,2.79,26.4,26.96,15.06,38.49,15.99,6,2,3,11,2026
02015-1,2396,2375,26381,11449,13059,3376,13322,8073,2154,672,11.01,4.78,42.22,43.4,25.85,60.6,31.2,8,3,1,12,2026
02016-1,1467,1450,15834,6656,7830,2074,8004,4582,1287,402,10.79,4.54,40.45,42.04,26.49,57.25,31.24,6,5,4,15,2026
02017-1,2006,1979,21223,7313,10465,2003,10758,5310,1712,389,10.58,3.65,33.17,34.46,19.14,49.36,22.72,8,4,1,13,2026
02018-1,957,950,10446,4752,5165,1425,5281,3327,845,259,10.92,4.97,44.26,45.49,27.59,63.0,30.65,1,1,2,4,2026
02021-1,1743,1720,18466,6881,9100,1984,9366,4897,1486,390,10.59,3.95,36.44,37.26,21.8,52.28,26.24,5,4,5,14,2026
02022-1,1009,997,10927,4833,5404,1452,5523,3381,885,274,10.83,4.79,42.3,44.23,26.87,61.22,30.96,1,3,6,10,2026
02023-1,1916,1894,21152,9366,10471,2769,10681,6597,1727,541,11.04,4.89,43.03,44.28,26.44,61.76,31.33,3,5,4,12,2026
02024-1,1153,1140,11804,3493,5807,859,5997,2634,932,189,10.24,3.03,28.12,29.59,14.79,43.92,20.28,6,1,0,7,2026
02025-1,1338,1319,13047,3399,6393,785,6654,2614,1011,156,9.75,2.54,25.14,26.05,12.28,39.28,15.43,9,0,4,13,2026
