precinct_split_id,school_district,municipality,D,R,Oth,total_voters,D_pct,R_pct,Oth_pct,DvR,DvR_pct,avg_age_years,avg_tenure_years,avg_age_years_D,avg_age_years_R,avg_age_years_Oth,avg_tenure_years_D,avg_tenure_years_R,avg_tenure_years_Oth
01010-1,PENNRIDGE,Bedminster township,880,1608,512,3000,29.33,53.6,17.07,-728,-24.27,52.7,21.4,51.9,54.3,49.1,20.9,23.2,16.7
01020-1,PENNRIDGE,Bedminster township,885,1491,492,2868,30.86,51.99,17.15,-606,-21.13,51.3,20.7,50.9,53.1,46.6,20.3,22.4,16.4
02011-1,BENSALEM TWP SCHOOL,Bensalem township,924,785,335,2044,45.21,38.41,16.39,139,6.8,50.3,18.9,49.8,53.3,44.6,19.1,21.2,12.8
02012-1,BENSALEM TWP SCHOOL,Bensalem township,826,768,311,1905,43.36,40.31,16.33,58,3.04,50.9,18.8,50.8,54.3,42.9,19.1,21.3,12.1
02013-1,BENSALEM TWP SCHOOL,Bensalem township,909,673,399,1981,45.89,33.97,20.14,236,11.91,49.9,16.6,49.4,53.6,45.0,16.4,19.9,11.6
02014-1,BENSALEM TWP SCHOOL,Bensalem township,626,296,235,1157,54.11,25.58,20.31,330,28.52,49.7,15.4,49.0,56.6,42.8,15.6,19.0,10.6
02015-1,BENSALEM TWP SCHOOL,Bensalem township,829,1191,376,2396,34.6,49.71,15.69,-362,-15.11,53.2,21.7,52.5,55.8,46.6,21.4,23.7,15.7
02016-1,BENSALEM TWP SCHOOL,Bensalem township,600,652,215,1467,40.9,44.44,14.66,-52,-3.54,55.3,20.7,56.3,57.2,46.8,20.5,22.7,15.2
02017-1,BENSALEM TWP SCHOOL,Bensalem township,892,770,344,2006,44.47,38.38,17.15,122,6.08,51.1,17.4,51.0,54.6,43.1,17.4,19.9,12.0
02018-1,BENSALEM TWP SCHOOL,Bensalem township,425,392,140,957,44.41,40.96,14.63,33,3.45,51.6,20.4,51.4,54.1,45.1,19.7,22.9,15.2
02021-1,BENSALEM TWP SCHOOL,Bensalem township,681,759,303,1743,39.07,43.55,17.38,-78,-4.48,49.9,18.0,49.0,52.8,44.6,17.4,20.7,12.7
02022-1,BENSALEM TWP SCHOOL,Bensalem township,343,523,143,1009,33.99,51.83,14.17,-180,-17.84,52.3,20.2,54.0,53.6,43.5,21.0,21.7,12.5
02023-1,BENSALEM TWP SCHOOL,Bensalem township,645,962,309,1916,33.66,50.21,16.13,-317,-16.54,53.5,21.3,52.5,56.4,46.5,21.0,23.9,14.1
02024-1,BENSALEM TWP SCHOOL,Bensalem township,509,382,262,1153,44.15,33.13,22.72,127,11.01,49.1,15.4,48.0,53.5,44.9,15.1,18.3,11.6
02025-1,BENSALEM TWP SCHOOL,Bensalem township,689,382,267,1338,51.49,28.55,19.96,307,22.94,50.3,13.5,51.3,52.5,44.3,14.4,14.8,9.3
02030-1,BENSALEM TWP SCHOOL,Bensalem township,691,587,262,1540,44.87,38.12,17.01,104,6.75,53.4,18.5,54.7,56.2,43.8,19.8,20.0,11.9
02040-1,BENSALEM TWP SCHOOL,Bensalem township,579,653,250,1482,39.07,44.06,16.87,-74,-4.99,53.9,20.7,54.0,57.6,43.9,20.1,24.0,13.5
02051-1,BENSALEM TWP SCHOOL,Bensalem township,808,1063,375,2246,35.98,47.33,16.7,-255,-11.35,52.0,19.6,52.6,54.0,45.2,19.7,21.6,13.6
