precinct_split_id,D_registered,Oth_registered,R_registered,D_voted,Oth_voted,R_voted,D_turnout_pct,R_turnout_pct,Oth_turnout_pct,registered_total,voted_total,turnout_pct
01010-1,880,512,1608,564,178,894,64.09,55.6,34.77,3000,1636,54.53
01020-1,885,492,1491,609,178,826,68.81,55.4,36.18,2868,1613,56.24
02011-1,924,335,785,476,97,398,51.52,50.7,28.96,2044,971,47.5
02012-1,826,311,768,396,78,357,47.94,46.48,25.08,1905,831,43.62
02013-1,909,399,673,337,85,304,37.07,45.17,21.3,1981,726,36.65
02014-1,626,235,296,195,30,109,31.15,36.82,12.77,1157,334,28.87
02015-1,829,376,1191,472,122,622,56.94,52.23,32.45,2396,1216,50.75
02016-1,600,215,652,304,57,339,50.67,51.99,26.51,1467,700,47.72
02017-1,892,344,770,352,79,338,39.46,43.9,22.97,2006,769,38.33
02018-1,425,140,392,224,45,225,52.71,57.4,32.14,957,494,51.62
02021-1,681,303,759,323,83,344,47.43,45.32,27.39,1743,750,43.03
02022-1,343,143,523,191,44,279,55.69,53.35,30.77,1009,514,50.94
02023-1,645,309,962,326,97,535,50.54,55.61,31.39,1916,958,50.0
02024-1,509,262,382,170,57,142,33.4,37.17,21.76,1153,369,32.0
02025-1,689,267,382,198,37,127,28.74,33.25,13.86,1338,362,27.06
02030-1,691,262,587,329,64,228,47.61,38.84,24.43,1540,621,40.32
02040-1,579,250,653,270,54,324,46.63,49.62,21.6,1482,648,43.72
02051-1,808,375,1063,377,89,464,46.66,43.65,23.73,2246,930,41.41
02052-1,399,149,341,175,23,160,43.86,46.92,15.44,889,358,40.27
02053-1,812,261,430,369,58,140,45.44,32.56,22.22,1503,567,37.72
02054-1,509,204,394,276,50,172,54.22,43.65,24.51,1107,498,44.99
02055-1,806,358,668,296,77,260,36.72,38.92,21.51,1832,633,34.55
02056-1,411,165,385,247,55,214,60.1,55.58,33.33,961,516,53.69
02057-1,624,237,439,247,51,216,39.58,49.2,21.52,1300,514,39.54
02058-1,624,278,539,261,66,232,41.83,43.04,23.74,1441,559,38.79
02059-1,662,251,655,389,90,369,58.76,56.34,35.86,1568,848,54.08
02060-1,693,202,705,426,60,402,61.47,57.02,29.7,1600,888,55.5
02061-1,907,330,838,474,103,480,52.26,57.28,31.21,2075,1057,50.94
02062-1,610,248,485,284,63,235,46.56,48.45,25.4,1343,582,43.34
03000-1,323,216,457,209,76,199,64.71,43.54,35.19,996,484,48.59
04011-1,512,122,189,199,22,68,38.87,35.98,18.03,823,289,35.12
04012-1,435,127,186,192,23,60,44.14,32.26,18.11,748,275,36.76
04021-1,686,160,354,423,35,173,61.66,48.87,21.88,1200,631,52.58
04022-1,551,132,297,298,27,125,54.08,42.09,20.45,980,450,45.92
04031-1,267,74,122,123,16,33,46.07,27.05,21.62,463,172,37.15
04032-1,446,124,209,214,25,86,47.98,41.15,20.16,779,325,41.72
04033-1,370,116,125,142,17,38,38.38,30.4,14.66,611,197,32.24
04041-1,308,81,141,147,17,61,47.73,43.26,20.99,530,225,42.45
04042-1,425,98,167,178,20,46,41.88,27.54,20.41,690,244,35.36
04043-1,220,70,115,93,18,41,42.27,35.65,25.71,405,152,37.53
05011-1,584,299,703,261,53,260,44.69,36.98,17.73,1586,574,36.19
05012-1,428,173,428,188,26,162,43.93,37.85,15.03,1029,376,36.54
05013-1,506,245,500,188,28,157,37.15,31.4,11.43,1251,373,29.82
05021-1,758,303,401,296,43,120,39.05,29.93,14.19,1462,459,31.4
05022-1,341,128,248,145,22,66,42.52,26.61,17.19,717,233,32.5
05023-1,550,202,370,262,35,122,47.64,32.97,17.33,1122,419,37.34
05031-1,627,176,265,278,29,101,44.34,38.11,16.48,1068,408,38.2
05032-1,654,198,382,275,34,150,42.05,39.27,17.17,1234,459,37.2
05033-1,417,168,295,192,30,105,46.04,35.59,17.86,880,327,37.16
05041-1,941,348,576,378,44,169,40.17,29.34,12.64,1865,591,31.69
05042-1,902,283,409,379,59,140,42.02,34.23,20.85,1594,578,36.26
05043-1,477,199,409,187,25,122,39.2,29.83,12.56,1085,334,30.78
05051-1,671,237,472,292,52,185,43.52,39.19,21.94,1380,529,38.33
05052-1,884,244,251,296,32,73,33.48,29.08,13.11,1379,401,29.08
05061-1,448,192,335,189,35,123,42.19,36.72,18.23,975,347,35.59
05062-1,513,211,365,222,53,124,43.27,33.97,25.12,1089,399,36.64
05063-1,338,156,255,140,27,75,41.42,29.41,17.31,749,242,32.31
05071-1,645,279,456,283,45,163,43.88,35.75,16.13,1380,491,35.58
05072-1,731,247,426,295,33,128,40.36,30.05,13.36,1404,456,32.48
05081-1,677,250,525,314,58,212,46.38,40.38,23.2,1452,584,40.22
05082-1,811,325,623,370,47,244,45.62,39.17,14.46,1759,661,37.58
05091-1,764,339,589,331,75,206,43.32,34.97,22.12,1692,612,36.17
05092-1,738,247,639,396,65,242,53.66,37.87,26.32,1624,703,43.29
05093-1,750,260,535,361,62,234,48.13,43.74,23.85,1545,657,42.52
05101-1,423,180,361,200,33,134,47.28,37.12,18.33,964,367,38.07
05102-1,546,181,288,245,22,93,44.87,32.29,12.15,1015,360,35.47
05103-1,411,156,297,193,31,118,46.96,39.73,19.87,864,342,39.58
05111-1,641,236,573,336,57,209,52.42,36.47,24.15,1450,602,41.52
05112-1,669,272,538,333,61,224,49.78,41.64,22.43,1479,618,41.78
06011-1,1143,667,1464,704,260,764,61.59,52.19,38.98,3274,1728,52.78
06012-1,560,268,744,407,119,463,72.68,62.23,44.4,1572,989,62.91
06021-1,957,509,1069,614,190,600,64.16,56.13,37.33,2535,1404,55.38
06022-1,583,289,593,395,116,360,67.75,60.71,40.14,1465,871,59.45
06031-1,870,482,999,571,213,579,65.63,57.96,44.19,2351,1363,57.98
06032-1,928,547,1096,612,224,664,65.95,60.58,40.95,2571,1500,58.34
06033-1,555,348,683,378,136,406,68.11,59.44,39.08,1586,920,58.01
06034-1,648,363,849,431,142,511,66.51,60.19,39.12,1860,1084,58.28
07000-1,1455,602,1358,920,193,703,63.23,51.77,32.06,3415,1816,53.18
08011-1,566,184,364,415,82,223,73.32,61.26,44.57,1114,720,64.63
08012-1,568,210,295,396,72,165,69.72,55.93,34.29,1073,633,58.99
08021-1,592,229,342,371,80,169,62.67,49.42,34.93,1163,620,53.31
08022-1,895,380,624,569,137,294,63.58,47.12,36.05,1899,1000,52.66
08031-1,491,175,260,317,66,144,64.56,55.38,37.71,926,527,56.91
08032-1,469,193,252,296,87,125,63.11,49.6,45.08,914,508,55.58
09010-1,738,345,719,493,143,444,66.8,61.75,41.45,1802,1080,59.93
09020-1,505,196,484,376,91,303,74.46,62.6,46.43,1185,770,64.98
09030-1,643,302,669,442,119,418,68.74,62.48,39.4,1614,979,60.66
09040-1,447,217,450,310,90,232,69.35,51.56,41.47,1114,632,56.73
09050-1,1123,538,972,664,168,487,59.13,50.1,31.23,2633,1319,50.09
09060-1,1019,445,925,707,182,530,69.38,57.3,40.9,2389,1419,59.4
09070-1,596,285,751,378,97,422,63.42,56.19,34.04,1632,897,54.96
09080-1,648,327,793,437,137,457,67.44,57.63,41.9,1768,1031,58.31
10000-1,545,355,731,285,91,324,52.29,44.32,25.63,1631,700,42.92
11000-1,274,173,506,179,62,270,65.33,53.36,35.84,953,511,53.62
12010-1,652,425,1217,373,138,635,57.21,52.18,32.47,2294,1146,49.96
12020-1,682,398,1142,426,124,598,62.46,52.36,31.16,2222,1148,51.67
13011-1,885,341,719,458,84,316,51.75,43.95,24.63,1945,858,44.11
13012-1,614,199,506,367,53,233,59.77,46.05,26.63,1319,653,49.51
13013-1,396,195,316,232,64,153,58.59,48.42,32.82,907,449,49.5
13014-1,606,211,458,325,56,212,53.63,46.29,26.54,1275,593,46.51
13015-1,1436,625,522,568,138,180,39.55,34.48,22.08,2583,886,34.3
