school_district,voters,voters_with_any_eligible_election,eligible_elections,voted_elections,eligible_primaries,voted_primaries,eligible_generals,voted_generals,eligible_midterm_primaries,voted_midterm_primaries,avg_eligible_elections_per_voter,avg_voted_elections_per_voter,avg_participation_pct_per_voter,participation_pct,primary_participation_pct,general_participation_pct,midterm_primary_participation_pct,registered_current_year_D,registered_current_year_Oth,registered_current_year_R,registered_current_year_total,registration_year
BENSALEM TWP SCHOOL,41959,41480,449065,173545,221731,50654,227334,122891,36243,9691,10.7,4.14,37.27,38.65,22.84,54.06,26.74,139,104,64,307,2026
BRISTOL BORO SCHOOL,7229,7153,78646,30580,38934,10079,39712,20501,6392,1646,10.88,4.23,37.79,38.88,25.89,51.62,25.75,28,16,10,54,2026
BRISTOL TWP SCHOOL,37093,36508,394682,137019,194911,38100,199771,98919,31871,7829,10.64,3.69,33.48,34.72,19.55,49.52,24.56,173,134,84,391,2026
CENTENNIAL 1,11781,11696,130772,57582,64800,17387,65972,40195,10669,3775,11.1,4.89,42.77,44.03,26.83,60.93,35.38,20,22,22,64,2026
CENTENNIAL 2,13785,13660,151241,67277,74889,21963,76352,45314,12277,4185,10.97,4.88,43.24,44.48,29.33,59.35,34.09,35,22,25,82,2026
CENTENNIAL 3,11555,11477,127166,56532,62956,17901,64210,38631,10361,3457,11.01,4.89,43.01,44.46,28.43,60.16,33.37,25,12,11,48,2026
CENTRL BUCKS 1,32580,32206,353005,174072,174390,54351,178615,119721,28543,10241,10.84,5.34,48.13,49.31,31.17,67.03,35.88,101,94,56,251,2026
CENTRL BUCKS 2,32557,32202,354345,172080,175210,53580,179135,118500,28671,10300,10.88,5.29,47.28,48.56,30.58,66.15,35.92,82,80,53,215,2026
CENTRL BUCKS 3,29604,29313,321802,145075,159065,42651,162737,102424,26067,8564,10.87,4.9,43.8,45.08,26.81,62.94,32.85,91,53,49,193,2026
COUNCIL ROCK 1,7359,7297,80768,39753,39959,12325,40809,27428,6579,2508,10.98,5.4,47.99,49.22,30.84,67.21,38.12,13,12,13,38,2026
COUNCIL ROCK 2,7024,6959,76560,36955,37837,11032,38723,25923,6188,2332,10.9,5.26,47.14,48.27,29.16,66.94,37.69,18,11,11,40,2026
COUNCIL ROCK 3,5583,5546,61695,30574,30554,9811,31141,20763,5021,1943,11.05,5.48,48.24,49.56,32.11,66.67,38.7,10,6,10,26,2026
COUNCIL ROCK 4,6750,6709,74478,34361,36847,10076,37631,24285,6052,2184,11.03,5.09,44.91,46.14,27.35,64.53,36.09,7,7,11,25,2026
COUNCIL ROCK 5,5757,5724,63364,28561,31349,8403,32015,20158,5144,1762,11.01,4.96,44.04,45.07,26.8,62.96,34.25,6,13,6,25,2026
COUNCIL ROCK 6,7237,7181,79165,35645,39136,10521,40029,25124,6434,2163,10.94,4.93,43.88,45.03,26.88,62.76,33.62,10,14,15,39,2026
COUNCIL ROCK 7,5714,5676,63247,28820,31318,8464,31929,20356,5145,1753,11.07,5.04,44.36,45.57,27.03,63.75,34.07,13,7,9,29,2026
COUNCIL ROCK 8,7724,7643,83958,42386,41486,13121,42472,29265,6799,2661,10.87,5.49,49.53,50.48,31.63,68.9,39.14,26,9,15,50,2026
COUNCIL ROCK 9,6188,6125,66970,32200,33076,9669,33894,22531,5418,1987,10.82,5.2,46.8,48.08,29.23,66.47,36.67,16,12,15,43,2026
