school_district,D_registered,Oth_registered,R_registered,D_voted,Oth_voted,R_voted,D_turnout_pct,R_turnout_pct,Oth_turnout_pct,registered_total,voted_total,turnout_pct
BENSALEM TWP SCHOOL,18033,7209,16717,8384,1814,8015,46.49,47.95,25.16,41959,18213,43.41
BRISTOL BORO SCHOOL,4220,1104,1905,2009,220,731,47.61,38.37,19.93,7229,2960,40.95
BRISTOL TWP SCHOOL,17845,6734,12514,7825,1216,4461,43.85,35.65,18.06,37093,13502,36.4
CENTENNIAL 1,4063,1761,5957,2375,482,2917,58.45,48.97,27.37,11781,5774,49.01
CENTENNIAL 2,5719,2073,5993,3305,576,2815,57.79,46.97,27.79,13785,6696,48.57
CENTENNIAL 3,4400,1781,5374,2554,532,2701,58.05,50.26,29.87,11555,5787,50.08
CENTRL BUCKS 1,12593,6439,13548,8301,2456,7669,65.92,56.61,38.14,32580,18426,56.56
CENTRL BUCKS 2,12582,6022,13953,8019,2250,7688,63.73,55.1,37.36,32557,17957,55.16
CENTRL BUCKS 3,11526,5338,12740,6925,1856,6716,60.08,52.72,34.77,29604,15497,52.35
COUNCIL ROCK 1,3047,1452,2860,1961,569,1612,64.36,56.36,39.19,7359,4142,56.28
COUNCIL ROCK 2,2895,1442,2687,1878,553,1480,64.87,55.08,38.35,7024,3911,55.68
COUNCIL ROCK 3,2240,819,2524,1449,313,1378,64.69,54.6,38.22,5583,3140,56.24
COUNCIL ROCK 4,2209,1006,3535,1337,304,1862,60.53,52.67,30.22,6750,3503,51.9
COUNCIL ROCK 5,2163,1031,2563,1265,298,1279,58.48,49.9,28.9,5757,2842,49.37
COUNCIL ROCK 6,2251,1176,3810,1316,400,1990,58.46,52.23,34.01,7237,3706,51.21
COUNCIL ROCK 7,1964,925,2825,1136,331,1433,57.84,50.73,35.78,5714,2900,50.75
COUNCIL ROCK 8,2768,1505,3451,1852,656,2021,66.91,58.56,43.59,7724,4529,58.64
COUNCIL ROCK 9,2317,1219,2652,1459,442,1498,62.97,56.49,36.26,6188,3399,54.93
MORRISVILLE ,3247,1343,1705,1572,361,708,48.41,41.52,26.88,6295,2641,41.95
NESHAMINY 1,5695,2720,7409,3054,691,3523,53.63,47.55,25.4,15824,7268,45.93
NESHAMINY 2,5328,2065,5210,3013,597,2555,56.55,49.04,28.91,12603,6165,48.92
NESHAMINY 3,10475,4247,9645,6090,1352,4948,58.14,51.3,31.83,24367,12390,50.85
NEW HOPE,4785,2193,3286,3170,923,1768,66.25,53.8,42.09,10264,5861,57.1
PALISADES 1,1551,851,1986,1054,345,1016,67.96,51.16,40.54,4388,2415,55.04
PALISADES 2,1298,789,2339,845,249,1145,65.1,48.95,31.56,4426,2239,50.59
PALISADES 3,1294,763,2106,792,246,1058,61.21,50.24,32.24,4163,2096,50.35
PENNRIDGE,12705,7098,19751,7813,2257,10316,61.5,52.23,31.8,39554,20386,51.54
PENNSBURY 1,8784,4452,7477,5509,1742,3853,62.72,51.53,39.13,20713,11104,53.61
PENNSBURY 2,7937,3080,5321,3829,674,2102,48.24,39.5,21.88,16338,6605,40.43
PENNSBURY 3,8269,3623,6408,5044,1267,3060,61.0,47.75,34.97,18300,9371,51.21
QUAKERTOWN 1,3303,1842,5086,1821,522,2424,55.13,47.66,28.34,10231,4767,46.59
QUAKERTOWN 2,2521,1448,4352,1506,437,2128,59.74,48.9,30.18,8321,4071,48.92
QUAKERTOWN 3,3050,1759,3841,1533,396,1589,50.26,41.37,22.51,8650,3518,40.67
SOUDERTON,566,287,806,329,99,421,58.13,52.23,34.49,1659,849,51.18
