state_house,voters,voters_with_any_eligible_election,eligible_elections,voted_elections,eligible_primaries,voted_primaries,eligible_generals,voted_generals,eligible_midterm_primaries,voted_midterm_primaries,avg_eligible_elections_per_voter,avg_voted_elections_per_voter,avg_participation_pct_per_voter,participation_pct,primary_participation_pct,general_participation_pct,midterm_primary_participation_pct,registered_current_year_D,registered_current_year_Oth,registered_current_year_R,registered_current_year_total,registration_year
STH018,42747,42262,457674,177215,225997,51754,231677,125461,36942,9866,10.71,4.15,37.36,38.72,22.9,54.15,26.71,140,104,66,310,2026
STH029,54048,53393,584515,290230,288798,91982,295717,198248,47268,17381,10.81,5.37,48.49,49.65,31.85,67.04,36.77,183,164,84,431,2026
STH031,55770,55217,606372,291778,299678,87609,306694,204169,49112,18084,10.87,5.23,47.0,48.12,29.23,66.57,36.82,164,101,92,357,2026
STH140,42039,41543,451621,180852,223112,52191,228509,128661,36547,10375,10.74,4.3,38.68,40.05,23.39,56.3,28.39,155,101,72,328,2026
STH141,44322,43661,473328,167599,233845,48179,239483,119420,38263,9475,10.68,3.78,34.19,35.41,20.6,49.87,24.76,201,150,94,445,2026
STH142,47231,46757,513741,226720,254091,68921,259650,157799,41650,14250,10.88,4.8,42.82,44.13,27.12,60.77,34.21,119,119,79,317,2026
STH143,51178,50705,557955,257375,275857,76872,282098,180503,45243,15297,10.9,5.03,44.83,46.13,27.87,63.99,33.81,94,122,104,320,2026
STH144,48108,47673,525691,234302,260060,72164,265631,162138,42679,14170,10.93,4.87,43.27,44.57,27.75,61.04,33.2,133,74,76,283,2026
STH145,46962,46445,511316,220448,252895,67260,258421,153188,41527,13532,10.89,4.69,41.82,43.11,26.6,59.28,32.59,126,129,97,352,2026
STH178,51170,50769,562947,259847,278589,78190,284358,181657,45754,16117,11.0,5.08,44.91,46.16,28.07,63.88,35.23,89,83,93,265,2026
