contest_name,party,precincts,file
JUDGE OF THE COURT OF COMMON PLEAS (Dem),Dem,304,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\judge_of_the_court_of_common_pleas_dem.html
SHERIFF (Dem),Dem,304,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\sheriff_dem.html
PROTHONOTARY (Dem),Dem,304,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\prothonotary_dem.html
RECORDER OF DEEDS (Dem),Dem,304,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\recorder_of_deeds_dem.html
COUNTY CONTROLLER (Dem),Dem,304,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\county_controller_dem.html
JUDGE OF THE COMMONWEALTH COURT (Dem),Dem,304,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\judge_of_the_commonwealth_court_dem.html
JUDGE OF THE SUPERIOR COURT (Dem),Dem,304,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\judge_of_the_superior_court_dem.html
DISTRICT ATTORNEY (Dem),Dem,304,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\district_attorney_dem.html
BRISTOL TOWNSHIP SCHOOL DIRECTOR - 4 YEAR (Dem),Dem,29,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\bristol_township_school_director_4_year_dem.html
BRISTOL TOWNSHIP COUNCIL - 4 YEARS (Dem),Dem,29,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\bristol_township_council_4_years_dem.html
BENSALEM TOWNSHIP SCHOOL DIRECTOR - 4 YEAR (Dem),Dem,27,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\bensalem_township_school_director_4_year_dem.html
BENSALEM TOWNSHIP COUNCIL - 4 YEAR (Dem),Dem,27,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\bensalem_township_council_4_year_dem.html
BENSALEM TOWNSHIP TREASURER - 4 YEAR (Dem),Dem,27,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\bensalem_township_treasurer_4_year_dem.html
BENSALEM TOWNSHIP AUDITOR - 6 YEAR (Dem),Dem,27,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\bensalem_township_auditor_6_year_dem.html
BENSALEM TOWNSHIP MAYOR - 4 YEAR (Dem),Dem,27,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\bensalem_township_mayor_4_year_dem.html
MIDDLETOWN TOWNSHIP SUPERVISOR - 6 YEARS (Dem),Dem,22,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\middletown_township_supervisor_6_years_dem.html
MIDDLETOWN TOWNSHIP TAX COLLECTOR - 4 YEAR (Dem),Dem,22,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\middletown_township_tax_collector_4_year_dem.html
MIDDLETOWN TOWNSHIP AUDITOR - 6 YEARS (Dem),Dem,22,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\middletown_township_auditor_6_years_dem.html
MAGISTERIAL DISTRICT JUDGE 07-1-07 (Dem),Dem,21,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\magisterial_district_judge_07_1_07_dem.html
PENNRIDGE SCHOOL DIRECTOR - 4 YEAR (Dem),Dem,20,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\pennridge_school_director_4_year_dem.html
MAGISTERIAL DISTRICT JUDGE 07-1-11 (Dem),Dem,20,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\magisterial_district_judge_07_1_11_dem.html
NORTHAMPTON TOWNSHIP SUPERVISOR - 6 YEAR (Dem),Dem,18,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\northampton_township_supervisor_6_year_dem.html
NORTHAMPTON TOWNSHIP AUDITOR - 6 YEAR (Dem),Dem,18,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\northampton_township_auditor_6_year_dem.html
FALLS TOWNSHIP TAX COLLECTOR  - 4 YEAR (Dem),Dem,18,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\falls_township_tax_collector_4_year_dem.html
FALLS TOWNSHIP SUPERVISOR - 6 YEAR (Dem),Dem,18,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\falls_township_supervisor_6_year_dem.html
FALLS TOWNSHIP AUDITOR - 6 YEAR (Dem),Dem,18,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\falls_township_auditor_6_year_dem.html
NORTHAMPTON TOWNSHIP TAX COLLECTOR - 4 YEAR (Dem),Dem,18,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\northampton_township_tax_collector_4_year_dem.html
WARMINSTER TOWNSHIP SUPERVISOR - 6 YEAR (Dem),Dem,17,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\warminster_township_supervisor_6_year_dem.html
CENTRAL BUCKS SCHOOL DIRECTOR REGION 2 - 4 YEAR (Dem),Dem,17,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\central_bucks_school_director_region_2_4_year_dem.html
WARMINSTER TOWNSHIP TAX COLLECTOR - 4 YEAR (Dem),Dem,17,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\warminster_township_tax_collector_4_year_dem.html
WARMINSTER TOWNSHIP AUDITOR - 6 YEAR (Dem),Dem,17,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\warminster_township_auditor_6_year_dem.html
MAGISTERIAL DISTRICT JUDGE 07-1-02 (Dem),Dem,16,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\magisterial_district_judge_07_1_02_dem.html
LOWER MAKEFIELD TOWNSHIP SUPERVISOR - 6 YEAR (Dem),Dem,15,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\lower_makefield_township_supervisor_6_year_dem.html
LOWER MAKEFIELD TOWNSHIP TAX COLLECTOR - 4 YEAR (Dem),Dem,15,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\lower_makefield_township_tax_collector_4_year_dem.html
LOWER MAKEFIELD TOWNSHIP AUDITOR - 6 YEAR (Dem),Dem,15,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\lower_makefield_township_auditor_6_year_dem.html
NESHAMINY SCHOOL DIRECTOR REGION 3 - 4 YEAR (Dem),Dem,14,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\neshaminy_school_director_region_3_4_year_dem.html
MAGISTERIAL DISTRICT JUDGE 07-1-03 (Dem),Dem,14,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\magisterial_district_judge_07_1_03_dem.html
CENTRAL BUCKS SCHOOL DIRECTOR REGION 3 - 4 YEAR (Dem),Dem,13,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\central_bucks_school_director_region_3_4_year_dem.html
PENNSBURY SCHOOL DIRECTOR REGION 3 - 4 YEAR (Dem),Dem,13,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\pennsbury_school_director_region_3_4_year_dem.html
MAGISTERIAL DISTRICT JUDGE 07-3-01- D (Dem),Dem,13,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\magisterial_district_judge_07_3_01_d_dem.html
CENTRAL BUCKS SCHOOL DIRECTOR REGION 3 - 2 YEAR (Dem),Dem,13,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\central_bucks_school_director_region_3_2_year_dem.html
NESHAMINY SCHOOL DIRECTOR REGION 1 - 4 YEAR (Dem),Dem,13,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\neshaminy_school_director_region_1_4_year_dem.html
