precinctid,municipality_district,Contest Name,contest_base,contest_party,Candidate Name,Votes
01010-1,Bedminster Twp. East,BEDMINSTER TOWNSHIP EAST COMMITTEEMAN (Rep),BEDMINSTER TOWNSHIP EAST COMMITTEEMAN,Rep,Write-in,16
01010-1,Bedminster Twp. East,BEDMINSTER TOWNSHIP EAST COMMITTEEPERSON (Dem),BEDMINSTER TOWNSHIP EAST COMMITTEEPERSON,Dem,Kelly Jerrom,296
01010-1,Bedminster Twp. East,BEDMINSTER TOWNSHIP EAST COMMITTEEPERSON (Dem),BEDMINSTER TOWNSHIP EAST COMMITTEEPERSON,Dem,Steven Lindrooth,248
01010-1,Bedminster Twp. East,BEDMINSTER TOWNSHIP EAST COMMITTEEPERSON (Dem),BEDMINSTER TOWNSHIP EAST COMMITTEEPERSON,Dem,Write-in,0
01010-1,Bedminster Twp. East,BEDMINSTER TOWNSHIP EAST COMMITTEEWOMAN (Rep),BEDMINSTER TOWNSHIP EAST COMMITTEEWOMAN,Rep,Write-in,16
01020-1,Bedminster Twp. West,BEDMINSTER TOWNSHIP WEST COMMITTEEMAN (Rep),BEDMINSTER TOWNSHIP WEST COMMITTEEMAN,Rep,David Ellis,252
01020-1,Bedminster Twp. West,BEDMINSTER TOWNSHIP WEST COMMITTEEMAN (Rep),BEDMINSTER TOWNSHIP WEST COMMITTEEMAN,Rep,Write-in,5
01020-1,Bedminster Twp. West,BEDMINSTER TOWNSHIP WEST COMMITTEEPERSON (Dem),BEDMINSTER TOWNSHIP WEST COMMITTEEPERSON,Dem,Dawn Curran,336
01020-1,Bedminster Twp. West,BEDMINSTER TOWNSHIP WEST COMMITTEEPERSON (Dem),BEDMINSTER TOWNSHIP WEST COMMITTEEPERSON,Dem,Joe Cepparulo,249
01020-1,Bedminster Twp. West,BEDMINSTER TOWNSHIP WEST COMMITTEEPERSON (Dem),BEDMINSTER TOWNSHIP WEST COMMITTEEPERSON,Dem,Write-in,2
01020-1,Bedminster Twp. West,BEDMINSTER TOWNSHIP WEST COMMITTEEWOMAN (Rep),BEDMINSTER TOWNSHIP WEST COMMITTEEWOMAN,Rep,Patricia T. Benz,291
